Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
12.02.2024;13:00;14:00;64.550;41.070;524,75
12.02.2024;14:00;15:00;62.955;40.784;677,75
12.02.2024;15:00;16:00;61.817,25;42.985,75;487
12.02.2024;16:00;17:00;61.248,5;46.546,5;786,5
12.02.2024;17:00;18:00;62.780;50.049,25;8,25
12.02.2024;18:00;19:00;64.845;51.628;5,25
12.02.2024;19:00;20:00;63.050;48.721;6
12.02.2024;20:00;21:00;60.224,75;43.632;179,75
12.02.2024;21:00;22:00;57.292,75;40.149,5;106,5
12.02.2024;22:00;23:00;54.823,25;37.070;316,5
12.02.2024;23:00;00:00;51.547;33.696;1.754,75
13.02.2024;00:00;01:00;49.020,75;30.682;1.703,25
13.02.2024;01:00;02:00;47.266,75;27.512,75;4.766,5
13.02.2024;02:00;03:00;46.531;25.819,25;5.510
13.02.2024;03:00;04:00;46.628,75;25.094;5.648,75
13.02.2024;04:00;05:00;48.060,5;26.036;4.998,75
13.02.2024;05:00;06:00;51.676,25;29.668,75;3.228
13.02.2024;06:00;07:00;58.393;36.180;624,5
13.02.2024;07:00;08:00;63.268,25;40.369,75;24,5
13.02.2024;08:00;09:00;65.768,25;39.789,75;235,75
13.02.2024;09:00;10:00;66.432,75;34.116,75;883,25
13.02.2024;10:00;11:00;67.419;29.913,25;938,75
13.02.2024;11:00;12:00;67.415,75;26.457,75;2.118,25
13.02.2024;12:00;13:00;66.129,75;23.913,25;3.677,25
13.02.2024;13:00;14:00;64.577,5;25.100,75;3.885
13.02.2024;14:00;15:00;63.280,5;29.093,25;1.286,5
13.02.2024;15:00;16:00;62.927;35.609,25;851,75
13.02.2024;16:00;17:00;62.485,5;42.675,75;522,5
13.02.2024;17:00;18:00;63.854;47.381,75;22,25
13.02.2024;18:00;19:00;66.264,25;47.636,75;83,75
13.02.2024;19:00;20:00;64.876,25;44.100;214
13.02.2024;20:00;21:00;62.145;40.276,5;404,75
13.02.2024;21:00;22:00;59.024,5;36.199,25;711,5
13.02.2024;22:00;23:00;55.556,25;33.143,5;501
13.02.2024;23:00;00:00;51.035,5;29.407,5;890
14.02.2024;00:00;01:00;47.836,75;26.641,25;2.211,75
14.02.2024;01:00;02:00;45.920,5;24.538;4.160
14.02.2024;02:00;03:00;45.153;22.858,25;4.324,75
14.02.2024;03:00;04:00;45.688,25;22.739,25;4.797,25
14.02.2024;04:00;05:00;46.547,25;23.379,75;3.832,25
14.02.2024;05:00;06:00;49.580,75;26.502,75;2.753
14.02.2024;06:00;07:00;57.043,5;33.825,25;481
14.02.2024;07:00;08:00;63.341,5;40.170,5;11,5
14.02.2024;08:00;09:00;66.005,25;41.862;3
14.02.2024;09:00;10:00;66.764,5;40.736;8,25
14.02.2024;10:00;11:00;67.654,75;40.287;105,5
14.02.2024;11:00;12:00;68.152;38.687;452,25
14.02.2024;12:00;13:00;67.431;37.174,75;181
14.02.2024;13:00;14:00;66.244,25;37.381;148,5
14.02.2024;14:00;15:00;65.014,5;38.748,5;28,25
14.02.2024;15:00;16:00;64.149,25;42.150,25;6
14.02.2024;16:00;17:00;62.812;43.361,25;7,75
14.02.2024;17:00;18:00;64.949;46.168;101,75
14.02.2024;18:00;19:00;66.378,25;46.986,5;10
14.02.2024;19:00;20:00;65.006;45.144,5;51,75
14.02.2024;20:00;21:00;61.415;40.759,5;92
14.02.2024;21:00;22:00;58.041,25;37.065,25;322,5
14.02.2024;22:00;23:00;54.479,75;33.314,25;315,25
14.02.2024;23:00;00:00;50.594,75;29.460,75;929
15.02.2024;00:00;01:00;47.401,75;27.288,5;3.244,25
15.02.2024;01:00;02:00;44.731;25.460,5;3.584,25
15.02.2024;02:00;03:00;44.220,25;25.076,25;4.719
15.02.2024;03:00;04:00;44.471,75;26.751;5.716,25
15.02.2024;04:00;05:00;46.152;29.715,75;3.500,25
15.02.2024;05:00;06:00;49.642,25;34.397;1.115
15.02.2024;06:00;07:00;57.202,5;42.274,5;91
15.02.2024;07:00;08:00;62.483;47.345,5;60
15.02.2024;08:00;09:00;64.535,25;46.835,5;27
15.02.2024;09:00;10:00;64.479,25;43.245;16,5
15.02.2024;10:00;11:00;65.362,25;40.180;58,75
15.02.2024;11:00;12:00;65.987;38.119,75;66,5
15.02.2024;12:00;13:00;66.270,25;37.070;505,25
15.02.2024;13:00;14:00;65.364;37.179,25;535,5
15.02.2024;14:00;15:00;63.319,75;39.416,75;132
15.02.2024;15:00;16:00;62.512,75;43.646,5;44,75
15.02.2024;16:00;17:00;61.959,75;46.938,25;43,25
15.02.2024;17:00;18:00;64.366;49.958,25;89
15.02.2024;18:00;19:00;65.958,25;48.866,5;2
15.02.2024;19:00;20:00;64.973;46.114,5;12
15.02.2024;20:00;21:00;61.961,5;41.465,25;206,25
15.02.2024;21:00;22:00;58.028,25;36.184,75;480,75
15.02.2024;22:00;23:00;54.608,25;32.991,25;345,5
15.02.2024;23:00;00:00;50.661;28.909;785
16.02.2024;00:00;01:00;47.127,75;24.729;2.739
16.02.2024;01:00;02:00;45.046,25;21.894,5;4.704
16.02.2024;02:00;03:00;44.144,25;20.569;5.484,5
16.02.2024;03:00;04:00;44.558,25;20.651;4.809,75
16.02.2024;04:00;05:00;45.947,25;21.123,25;3.773,25
16.02.2024;05:00;06:00;49.807,5;24.093,5;3.759,25
16.02.2024;06:00;07:00;57.114;30.031,25;667,25
16.02.2024;07:00;08:00;62.083,25;33.788,5;15,75
16.02.2024;08:00;09:00;64.723,75;32.933,75;8,5
16.02.2024;09:00;10:00;65.362,5;30.252,5;81,5
16.02.2024;10:00;11:00;65.942,5;28.235;21,5
16.02.2024;11:00;12:00;65.839;25.975,5;364,75
16.02.2024;12:00;13:00;66.222,75;24.753,5;1.472,25
16.02.2024;13:00;14:00;65.184,25;26.565,25;1.773,5
16.02.2024;14:00;15:00;62.526,5;28.005;878,5
16.02.2024;15:00;16:00;61.373,25;31.508,5;550,25
16.02.2024;16:00;17:00;60.586,5;36.076,5;17,75
16.02.2024;17:00;18:00;62.901;39.830,75;36,5
16.02.2024;18:00;19:00;64.806;42.126,75;13,25
16.02.2024;19:00;20:00;62.574;40.329,25;15,75
16.02.2024;20:00;21:00;58.894,75;35.918,75;280,25
16.02.2024;21:00;22:00;55.345,5;32.551,5;950,75
16.02.2024;22:00;23:00;52.335;29.816,75;234
16.02.2024;23:00;00:00;48.663,75;25.798,75;814
17.02.2024;00:00;01:00;45.729,5;23.825;762
17.02.2024;01:00;02:00;43.403,75;21.074,75;2.038,5
17.02.2024;02:00;03:00;42.211;19.598,75;4.118,25
17.02.2024;03:00;04:00;42.679;21.293;5.056
17.02.2024;04:00;05:00;43.264,25;21.358;5.273,25
17.02.2024;05:00;06:00;43.710;20.862,75;5.553,75
17.02.2024;06:00;07:00;45.329,25;21.935,5;3.363,25
17.02.2024;07:00;08:00;47.477;25.771;1.063,75
17.02.2024;08:00;09:00;49.937,25;27.860,5;18
17.02.2024;09:00;10:00;52.759,75;28.577,5;59,75
17.02.2024;10:00;11:00;54.729,25;28.447;63,25
17.02.2024;11:00;12:00;55.900,25;28.138,5;381,25
17.02.2024;12:00;13:00;55.147,25;28.224;1.539,25
17.02.2024;13:00;14:00;53.424;28.571,25;545,5
17.02.2024;14:00;15:00;51.423,75;30.403,75;601,25
17.02.2024;15:00;16:00;51.075,5;35.807;200
17.02.2024;16:00;17:00;50.594,25;42.159,25;59
17.02.2024;17:00;18:00;52.925;48.546;76,75
17.02.2024;18:00;19:00;55.614;52.382,5;4,25
17.02.2024;19:00;20:00;53.936,25;51.205,5;7,5
17.02.2024;20:00;21:00;50.303;47.744,75;11
17.02.2024;21:00;22:00;48.103,25;45.319;15
17.02.2024;22:00;23:00;46.538,25;42.713,25;118,25
17.02.2024;23:00;00:00;44.046;38.274,5;473,75
18.02.2024;00:00;01:00;41.537,5;33.829,5;525,5
18.02.2024;01:00;02:00;39.784,75;30.133,75;925,25
18.02.2024;02:00;03:00;39.160,75;27.737,5;905,25
18.02.2024;03:00;04:00;38.944,5;26.370;903
18.02.2024;04:00;05:00;39.564,5;24.714;1.907,5
18.02.2024;05:00;06:00;40.515;24.384,25;2.164,25
18.02.2024;06:00;07:00;41.128,5;23.186;1.474,25
18.02.2024;07:00;08:00;42.367,75;22.190,75;1.176,75
18.02.2024;08:00;09:00;45.306;19.752,25;2.681,75
18.02.2024;09:00;10:00;48.637,25;16.702,75;5.168
18.02.2024;10:00;11:00;51.148,5;13.650,25;6.009,75
18.02.2024;11:00;12:00;53.904;14.444,25;5.770,75
18.02.2024;12:00;13:00;53.899;14.663,75;6.166,25
18.02.2024;13:00;14:00;51.689,5;15.076,5;6.345
18.02.2024;14:00;15:00;49.479,5;15.807,75;5.718,25
18.02.2024;15:00;16:00;48.813;17.740;3.116
18.02.2024;16:00;17:00;49.169,5;21.908,75;567,25
18.02.2024;17:00;18:00;52.212;26.295,75;218,5
18.02.2024;18:00;19:00;54.884,25;28.324,25;27,5
18.02.2024;19:00;20:00;53.452,75;26.131,25;217,75
18.02.2024;20:00;21:00;51.524;22.672,5;485,25
18.02.2024;21:00;22:00;50.012,75;19.398;1.353
18.02.2024;22:00;23:00;49.321,25;17.289,25;2.035
18.02.2024;23:00;00:00;46.571,5;12.443,25;3.933,5
19.02.2024;00:00;01:00;44.241;7.162,25;2.816,5
19.02.2024;01:00;02:00;42.550,5;5.151;3.341,25
19.02.2024;02:00;03:00;41.783;5.486,25;4.158,75
19.02.2024;03:00;04:00;42.437,25;6.203;3.652,75
19.02.2024;04:00;05:00;43.917,25;9.617,5;2.607
19.02.2024;05:00;06:00;48.224,75;16.130;788,25
19.02.2024;06:00;07:00;56.864,5;25.622;476,75
19.02.2024;07:00;08:00;62.532;30.949,25;178,25
19.02.2024;08:00;09:00;65.456;33.745;4,25
19.02.2024;09:00;10:00;66.273,25;32.107,75;7,75
19.02.2024;10:00;11:00;67.032,5;31.103,75;17
19.02.2024;11:00;12:00;68.046,25;30.469;12
19.02.2024;12:00;13:00;67.253,25;29.279,75;253,25
19.02.2024;13:00;14:00;66.069,5;29.993;254
19.02.2024;14:00;15:00;64.616,25;31.486,75;137,75
19.02.2024;15:00;16:00;63.971;34.867,25;296,25
19.02.2024;16:00;17:00;62.432,75;37.228,75;107,5
19.02.2024;17:00;18:00;64.062;41.296,75;9,5
19.02.2024;18:00;19:00;65.484;43.119;7
19.02.2024;19:00;20:00;64.274,75;41.264,75;6,75
19.02.2024;20:00;21:00;60.561;36.198,5;327
19.02.2024;21:00;22:00;57.343,75;32.169,25;504,25
19.02.2024;22:00;23:00;54.828,75;29.066,25;802,75
19.02.2024;23:00;00:00;50.855,25;25.838,5;762,5
20.02.2024;00:00;01:00;48.334,25;24.994;1.135,25
20.02.2024;01:00;02:00;46.327,25;23.070,75;2.968,25
20.02.2024;02:00;03:00;45.365,25;21.995,25;4.353,75
20.02.2024;03:00;04:00;45.517;22.571,5;4.674,75
20.02.2024;04:00;05:00;47.007;24.965,25;3.562
20.02.2024;05:00;06:00;50.716;28.911,25;856,25
20.02.2024;06:00;07:00;58.887,5;37.846,75;345,25
20.02.2024;07:00;08:00;63.844,75;44.406,25;5,25
20.02.2024;08:00;09:00;65.665,5;44.779;4
20.02.2024;09:00;10:00;65.611,5;40.886;4,5
20.02.2024;10:00;11:00;66.615,5;36.920;27,5
20.02.2024;11:00;12:00;67.726,25;33.267,25;313,5
20.02.2024;12:00;13:00;66.944;28.736;1.779,25
20.02.2024;13:00;14:00;65.806;27.456;2.037,25
20.02.2024;14:00;15:00;64.130,25;27.775;1.892,25
20.02.2024;15:00;16:00;62.821,75;31.797,5;419,75
20.02.2024;16:00;17:00;62.875,75;37.677;214,25
20.02.2024;17:00;18:00;65.212,75;42.600;34
20.02.2024;18:00;19:00;67.301;42.815,5;24,25
20.02.2024;19:00;20:00;66.170,25;39.047,5;63,75
20.02.2024;20:00;21:00;62.715;33.123;521,75
20.02.2024;21:00;22:00;59.322,75;28.292,75;896,25
20.02.2024;22:00;23:00;56.266,25;25.542,75;543
20.02.2024;23:00;00:00;52.505;22.011,5;951,5
21.02.2024;00:00;01:00;49.881;18.456;3.714
21.02.2024;01:00;02:00;47.956,75;16.256,5;6.200
21.02.2024;02:00;03:00;47.254,25;17.080,25;6.488,5
21.02.2024;03:00;04:00;47.934,75;17.845,5;6.099,25
21.02.2024;04:00;05:00;49.161,75;19.940,25;6.369
21.02.2024;05:00;06:00;52.937,75;25.792,5;3.848,75
21.02.2024;06:00;07:00;60.499;33.735,5;811
21.02.2024;07:00;08:00;64.550;38.590;8
21.02.2024;08:00;09:00;66.077,25;38.431;5
21.02.2024;09:00;10:00;66.906,75;34.784,75;115,25
21.02.2024;10:00;11:00;67.911;29.885;361,25
21.02.2024;11:00;12:00;68.279,5;26.700,5;453,5
21.02.2024;12:00;13:00;67.132;23.911,25;520
21.02.2024;13:00;14:00;66.216;25.752,75;517,5
21.02.2024;14:00;15:00;64.293,75;27.749;269,25
21.02.2024;15:00;16:00;63.889;33.192,75;64,5
21.02.2024;16:00;17:00;63.464,5;38.595,25;10,75
21.02.2024;17:00;18:00;65.081,25;41.036,75;8
21.02.2024;18:00;19:00;66.854,25;38.073;65,25
21.02.2024;19:00;20:00;66.377;34.102;1.227,5
21.02.2024;20:00;21:00;62.788,75;27.724,25;508,25
21.02.2024;21:00;22:00;59.519;22.007,5;1.046,5
21.02.2024;22:00;23:00;56.721,75;17.740,5;1.836,5
21.02.2024;23:00;00:00;53.635;14.058,75;3.207,5
22.02.2024;00:00;01:00;50.207,25;10.809,25;5.019,75
22.02.2024;01:00;02:00;47.733;9.155,25;5.964,25
22.02.2024;02:00;03:00;46.711,5;10.153,25;6.073
22.02.2024;03:00;04:00;46.495,75;13.282,25;5.286,75
22.02.2024;04:00;05:00;47.511,5;17.875,75;4.788
22.02.2024;05:00;06:00;51.125,5;24.840,25;2.382,75
22.02.2024;06:00;07:00;58.364,25;34.835,25;160
22.02.2024;07:00;08:00;63.601,5;40.970,25;7,75
22.02.2024;08:00;09:00;65.993,5;42.049;6
22.02.2024;09:00;10:00;67.602,75;41.589,25;1,75
22.02.2024;10:00;11:00;67.745,25;39.729,25;7,25
22.02.2024;11:00;12:00;67.880,5;37.504;107
22.02.2024;12:00;13:00;67.225,5;34.990,5;21,5
22.02.2024;13:00;14:00;66.633,5;34.277,25;26,5
22.02.2024;14:00;15:00;65.241,5;33.971,5;301,25
22.02.2024;15:00;16:00;64.281,75;32.855,25;31,75
22.02.2024;16:00;17:00;63.486,75;30.428,5;44,5
22.02.2024;17:00;18:00;65.738,75;29.025;27
22.02.2024;18:00;19:00;68.519,25;27.952,5;75,5
22.02.2024;19:00;20:00;67.840,75;23.984;216,75
22.02.2024;20:00;21:00;64.251,75;17.576,5;1.479,5
22.02.2024;21:00;22:00;61.346,25;12.693,75;2.318,25
22.02.2024;22:00;23:00;58.868,5;9.852,25;3.210
22.02.2024;23:00;00:00;54.976,5;5.557,25;4.753,25
23.02.2024;00:00;01:00;52.258,25;4.141,25;6.394
23.02.2024;01:00;02:00;50.180,75;3.595,25;6.357,75
23.02.2024;02:00;03:00;49.732,25;2.883;6.454,5
23.02.2024;03:00;04:00;50.339,75;3.053;6.732,25
23.02.2024;04:00;05:00;51.228,75;5.626;6.051,5
23.02.2024;05:00;06:00;54.590,25;10.014,25;4.276,5
23.02.2024;06:00;07:00;60.312;18.066,25;1.340,5
23.02.2024;07:00;08:00;65.308,75;25.854;53,75
23.02.2024;08:00;09:00;67.914,25;29.885,75;1,25
23.02.2024;09:00;10:00;68.373,25;26.333,75;71
23.02.2024;10:00;11:00;69.155;23.122,75;370,25
23.02.2024;11:00;12:00;70.075,25;22.425,75;943,75
23.02.2024;12:00;13:00;68.853;22.069,75;2.465,5
23.02.2024;13:00;14:00;66.108,75;22.258,5;2.870,75
23.02.2024;14:00;15:00;64.601;24.569,75;2.184
23.02.2024;15:00;16:00;63.273;26.421,25;2.041,25
23.02.2024;16:00;17:00;62.252,75;31.797,5;1.046,25
23.02.2024;17:00;18:00;63.105;37.677,25;161,5
23.02.2024;18:00;19:00;65.021,5;40.254,75;6,75
23.02.2024;19:00;20:00;63.592,75;39.848,5;6
23.02.2024;20:00;21:00;60.046;37.369,25;8
23.02.2024;21:00;22:00;56.244,25;34.545,75;248,25
23.02.2024;22:00;23:00;53.722,5;33.495,5;4,75
23.02.2024;23:00;00:00;50.414,75;32.837;2,75
24.02.2024;00:00;01:00;47.249,25;31.464,5;228,75
24.02.2024;01:00;02:00;45.450,75;30.045,5;617
24.02.2024;02:00;03:00;44.317,25;29.621,75;974,75
24.02.2024;03:00;04:00;43.877,75;29.881,75;1.338,75
24.02.2024;04:00;05:00;43.738,75;29.561,5;1.758
24.02.2024;05:00;06:00;43.966,25;29.819,25;1.060,25
24.02.2024;06:00;07:00;44.762;30.571,25;440,25
24.02.2024;07:00;08:00;47.251,75;31.566,75;86,25
24.02.2024;08:00;09:00;51.133,5;30.117;82,75
24.02.2024;09:00;10:00;53.918,25;27.767,75;490
24.02.2024;10:00;11:00;55.648;23.588;1.262,5
24.02.2024;11:00;12:00;56.403,75;18.200,25;4.350,5
24.02.2024;12:00;13:00;55.719,5;15.212,5;5.967,5
24.02.2024;13:00;14:00;53.512,25;13.800,25;5.905,5
24.02.2024;14:00;15:00;51.498;14.973;5.799,25
24.02.2024;15:00;16:00;50.884,5;19.678,25;3.921,25
24.02.2024;16:00;17:00;51.783;27.539,75;1.242,5
24.02.2024;17:00;18:00;53.861;34.663,5;636,5
24.02.2024;18:00;19:00;56.961;37.428,25;6,25
24.02.2024;19:00;20:00;56.391,75;36.238,25;34,75
24.02.2024;20:00;21:00;52.896;31.903,5;231,75
24.02.2024;21:00;22:00;49.884;27.766,75;482,5
24.02.2024;22:00;23:00;49.171,75;26.723,75;475,75
24.02.2024;23:00;00:00;46.181,25;23.107;741,75
25.02.2024;00:00;01:00;43.720,25;20.042,25;1.806,75
25.02.2024;01:00;02:00;42.156;18.699,5;2.925,5
25.02.2024;02:00;03:00;41.386,25;19.104,75;3.157,75
25.02.2024;03:00;04:00;41.154,25;19.552,5;2.440,75
25.02.2024;04:00;05:00;41.141;21.146,25;1.561,75
25.02.2024;05:00;06:00;40.826;21.282;1.285,25
25.02.2024;06:00;07:00;41.291,75;21.558,75;1.149,75
25.02.2024;07:00;08:00;42.963,25;22.557,75;450,75
25.02.2024;08:00;09:00;46.277,75;22.329,5;1.382,5
25.02.2024;09:00;10:00;49.100,75;21.366,5;1.662,75
25.02.2024;10:00;11:00;51.233;19.109,5;2.793
25.02.2024;11:00;12:00;53.263,5;17.008,5;3.990,5
25.02.2024;12:00;13:00;53.512,75;15.967,25;4.922
25.02.2024;13:00;14:00;51.349,25;15.990,25;5.173,75
25.02.2024;14:00;15:00;49.201,25;19.524;4.183,25
25.02.2024;15:00;16:00;47.652,75;25.411,25;2.936,25
25.02.2024;16:00;17:00;48.021,5;34.683,75;1.399,25
25.02.2024;17:00;18:00;50.760,5;44.023,75;247
25.02.2024;18:00;19:00;54.381;47.913,25;4,25
25.02.2024;19:00;20:00;53.862,5;46.288;5,5
25.02.2024;20:00;21:00;51.901,25;44.116,25;26,75
25.02.2024;21:00;22:00;50.158;42.117,5;31
25.02.2024;22:00;23:00;49.209,5;41.357,5;72,25
25.02.2024;23:00;00:00;46.649,75;38.410,75;756,5
26.02.2024;00:00;01:00;44.044,5;35.065,5;2.296,5
26.02.2024;01:00;02:00;42.064,25;32.309;4.785,5
26.02.2024;02:00;03:00;41.542,25;31.085,5;5.697,75
26.02.2024;03:00;04:00;42.471,5;31.365,5;5.507,75
26.02.2024;04:00;05:00;44.617,5;32.278,5;5.197
26.02.2024;05:00;06:00;48.653,5;36.360,75;3.626,25
26.02.2024;06:00;07:00;57.109,25;44.028;493
26.02.2024;07:00;08:00;62.483,75;48.094;20
26.02.2024;08:00;09:00;65.390,25;46.930,75;175,75
26.02.2024;09:00;10:00;66.535,75;44.596,75;63
26.02.2024;10:00;11:00;67.363,25;42.542,5;150
26.02.2024;11:00;12:00;67.946,75;41.788,25;171
26.02.2024;12:00;13:00;67.501,75;41.203,75;1.375,25
26.02.2024;13:00;14:00;66.534,5;41.229,75;512,25
26.02.2024;14:00;15:00;64.787;41.245,5;723
26.02.2024;15:00;16:00;63.119;42.628,75;332,5
26.02.2024;16:00;17:00;62.266,75;45.029,25;676,25
26.02.2024;17:00;18:00;63.958,25;47.313,25;161,25
26.02.2024;18:00;19:00;66.699;48.384,25;7,75
26.02.2024;19:00;20:00;65.639;46.445,5;12,5
26.02.2024;20:00;21:00;62.025,25;43.079;153,5
26.02.2024;21:00;22:00;58.736,25;40.929;369,5
26.02.2024;22:00;23:00;55.165;39.179;413
26.02.2024;23:00;00:00;50.872,5;35.708,75;2.296,5
27.02.2024;00:00;01:00;47.695;32.992,25;2.593,75
27.02.2024;01:00;02:00;46.209,5;32.401,25;3.828,75
27.02.2024;02:00;03:00;45.510,75;32.823,5;3.679
27.02.2024;03:00;04:00;45.910;34.156,25;4.283,5
27.02.2024;04:00;05:00;47.287,75;36.083;2.479,75
27.02.2024;05:00;06:00;51.098,5;41.102,25;1.233,25
27.02.2024;06:00;07:00;59.045,5;50.194;397,5
27.02.2024;07:00;08:00;63.280,75;54.985,5;10,25
27.02.2024;08:00;09:00;65.758,5;55.921,75;8,25
27.02.2024;09:00;10:00;66.758,5;54.715,25;43,25
27.02.2024;10:00;11:00;68.274,5;54.319,25;180
27.02.2024;11:00;12:00;68.442;53.574,25;84,25
27.02.2024;12:00;13:00;66.858,75;51.052,75;954,25
27.02.2024;13:00;14:00;65.177,5;49.382,5;2.581,25
27.02.2024;14:00;15:00;63.316,5;48.928;1.237,75
27.02.2024;15:00;16:00;62.198,5;50.491,25;294,75
27.02.2024;16:00;17:00;61.771,5;54.234,75;155
27.02.2024;17:00;18:00;63.765,25;59.757,75;29,5
27.02.2024;18:00;19:00;66.312,75;62.912;8,75
27.02.2024;19:00;20:00;65.334,75;61.898,75;2,75
27.02.2024;20:00;21:00;61.536,25;57.738,5;168,5
27.02.2024;21:00;22:00;58.357;54.148;257,75
27.02.2024;22:00;23:00;55.454,75;50.879;562,25
27.02.2024;23:00;00:00;52.192;47.199,75;886,25
28.02.2024;00:00;01:00;47.062,75;41.590,5;3.754
28.02.2024;01:00;02:00;45.124,75;39.581,25;4.808,25
28.02.2024;02:00;03:00;44.696,5;39.549,25;5.034,5
28.02.2024;03:00;04:00;45.076,5;40.210;4.456
28.02.2024;04:00;05:00;46.638;41.946,25;3.249,25
28.02.2024;05:00;06:00;50.433,75;45.838,75;1.043,75
28.02.2024;06:00;07:00;57.400,5;53.188,25;445,5
28.02.2024;07:00;08:00;62.369;57.995,25;6,75
28.02.2024;08:00;09:00;64.600,75;58.097,25;6,75
28.02.2024;09:00;10:00;64.630,75;55.167;8,25
28.02.2024;10:00;11:00;65.216,5;51.825,5;31,5
28.02.2024;11:00;12:00;65.471,25;48.005,75;823,5
28.02.2024;12:00;13:00;63.599,25;43.110,75;1.878,25
28.02.2024;13:00;14:00;62.264;40.066,5;3.984,75
28.02.2024;14:00;15:00;61.028,75;40.561;3.096,25
28.02.2024;15:00;16:00;60.792,75;45.277,5;1.143,75
28.02.2024;16:00;17:00;60.566,5;51.132,75;320,75
28.02.2024;17:00;18:00;61.861,75;56.219,75;68,25
28.02.2024;18:00;19:00;65.040,75;58.310,5;8
28.02.2024;19:00;20:00;64.176;55.033,75;31,5
28.02.2024;20:00;21:00;60.647,5;49.572,75;115,75
28.02.2024;21:00;22:00;57.472;44.860,75;207,75
28.02.2024;22:00;23:00;54.579;40.701,25;266,75
28.02.2024;23:00;00:00;50.900,75;35.505,75;583,25
29.02.2024;00:00;01:00;48.005,25;30.394;2.302
29.02.2024;01:00;02:00;46.269,5;26.819,5;3.218,5
29.02.2024;02:00;03:00;45.982;25.057;4.960,5
29.02.2024;03:00;04:00;47.034,75;25.090;5.777,75
29.02.2024;04:00;05:00;48.670,75;25.374;5.657,25
29.02.2024;05:00;06:00;52.249,75;27.576,25;3.863,5
29.02.2024;06:00;07:00;59.572,25;32.971,5;702,75
29.02.2024;07:00;08:00;63.776,25;35.683,75;50,5
29.02.2024;08:00;09:00;65.750,5;34.420,5;90,5
29.02.2024;09:00;10:00;65.853,25;30.597;86,75
29.02.2024;10:00;11:00;66.277,75;26.614,5;383
29.02.2024;11:00;12:00;66.614,25;24.388,25;2.659,5
29.02.2024;12:00;13:00;64.715,25;22.068,75;2.710,5
29.02.2024;13:00;14:00;63.653,25;21.408;3.156
29.02.2024;14:00;15:00;61.910,25;23.207,75;2.121
29.02.2024;15:00;16:00;60.874,5;28.940,5;658,25
29.02.2024;16:00;17:00;59.602,5;35.798;430
29.02.2024;17:00;18:00;60.972,25;41.949,75;61,75
29.02.2024;18:00;19:00;63.642;42.703,5;8,25
29.02.2024;19:00;20:00;63.348,25;39.858;8,5
29.02.2024;20:00;21:00;59.983;35.878;84
29.02.2024;21:00;22:00;56.976,5;33.192,5;216,5
29.02.2024;22:00;23:00;53.704,75;30.506,25;106,25
29.02.2024;23:00;00:00;49.591;27.297,75;119,25
01.03.2024;00:00;01:00;47.095,5;26.412,25;1.852
01.03.2024;01:00;02:00;45.032,25;25.156,5;2.578,25
01.03.2024;02:00;03:00;44.068,25;24.057;4.655
01.03.2024;03:00;04:00;44.576,25;24.104;4.937
01.03.2024;04:00;05:00;45.524;24.919,25;3.218,5
01.03.2024;05:00;06:00;48.606,5;28.160,75;1.266,25
01.03.2024;06:00;07:00;55.875,75;35.201;338,5
01.03.2024;07:00;08:00;61.179,25;39.657;14
01.03.2024;08:00;09:00;63.918;40.502,75;7,25
01.03.2024;09:00;10:00;64.848,25;39.973,75;21,5
01.03.2024;10:00;11:00;65.314,5;40.485;197
01.03.2024;11:00;12:00;65.335;41.300,25;212,25
01.03.2024;12:00;13:00;64.202,75;40.640;1.193,5
01.03.2024;13:00;14:00;62.676,25;40.247,75;912,25
01.03.2024;14:00;15:00;60.217,25;39.891,75;390,25
01.03.2024;15:00;16:00;59.095;40.323,75;975,75
01.03.2024;16:00;17:00;59.229,5;43.284;703
01.03.2024;17:00;18:00;60.142,25;46.604,25;307,75
01.03.2024;18:00;19:00;61.359,5;46.935,75;2,5
01.03.2024;19:00;20:00;60.233;43.912,25;57,25
01.03.2024;20:00;21:00;56.603;39.183,75;463,5
01.03.2024;21:00;22:00;53.331,75;35.461,75;402,5
01.03.2024;22:00;23:00;50.720,75;33.069,25;384,75
01.03.2024;23:00;00:00;47.209;30.035,25;138,25
02.03.2024;00:00;01:00;44.668,5;26.889,75;278,5
02.03.2024;01:00;02:00;42.919,75;25.030;1.807,75
02.03.2024;02:00;03:00;41.639,25;23.122,75;3.648
02.03.2024;03:00;04:00;41.284,75;22.234,75;3.655
02.03.2024;04:00;05:00;41.913,5;23.074,75;3.859,25
02.03.2024;05:00;06:00;42.848,75;24.412,5;2.703
02.03.2024;06:00;07:00;44.312,5;26.142;704,25
02.03.2024;07:00;08:00;45.940,75;27.390,25;200,25
02.03.2024;08:00;09:00;48.577,5;28.384,75;55
02.03.2024;09:00;10:00;51.131,25;28.070,25;557,75
02.03.2024;10:00;11:00;51.352;24.333,25;2.103,5
02.03.2024;11:00;12:00;51.824,75;21.086,5;4.615,75
02.03.2024;12:00;13:00;51.113,25;17.204,25;6.532
02.03.2024;13:00;14:00;49.316,25;15.020,5;6.122
02.03.2024;14:00;15:00;47.873,25;16.507,75;5.024,25
02.03.2024;15:00;16:00;47.262,5;21.821,5;1.359,5
02.03.2024;16:00;17:00;47.907,5;29.422,75;520
